"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
380,24/01/2016,18:30:00,"NA",26.77
381,24/01/2016,18:35:00,"NA",26.77
382,24/01/2016,18:40:00,"NA",26.77
383,24/01/2016,18:45:00,"NA",26.77
384,24/01/2016,18:50:00,"NA",26.77
385,24/01/2016,18:55:00,"NA",26.77
386,24/01/2016,19:00:00,"NA",26.77
387,24/01/2016,19:05:00,"NA",26.77
388,24/01/2016,19:10:00,"NA",26.77
389,24/01/2016,19:15:00,"NA",26.71
390,24/01/2016,19:20:00,"NA",26.71
391,24/01/2016,19:25:00,"NA",26.71
392,24/01/2016,19:30:00,"NA",26.71
393,24/01/2016,19:35:00,"NA",26.71
394,24/01/2016,19:40:00,"NA",26.71
395,24/01/2016,19:45:00,"NA",26.71
396,24/01/2016,19:50:00,"NA",26.77
397,24/01/2016,19:55:00,"NA",26.77
398,24/01/2016,20:00:00,"NA",26.77
399,24/01/2016,20:05:00,"NA",26.77
400,24/01/2016,20:10:00,"NA",26.77
401,24/01/2016,20:15:00,"NA",26.77
402,24/01/2016,20:20:00,"NA",26.71
403,24/01/2016,20:25:00,"NA",26.71
404,24/01/2016,20:30:00,"NA",26.71
405,24/01/2016,20:35:00,"NA",26.65
406,24/01/2016,20:40:00,"NA",26.65
407,24/01/2016,20:45:00,"NA",26.65
408,24/01/2016,20:50:00,"NA",26.65
409,24/01/2016,20:55:00,"NA",26.65
410,24/01/2016,21:00:00,"NA",26.65
411,24/01/2016,21:05:00,"NA",26.65
412,24/01/2016,21:10:00,"NA",26.65
413,24/01/2016,21:15:00,"NA",26.65
414,24/01/2016,21:20:00,"NA",26.65
415,24/01/2016,21:25:00,"NA",26.59
416,24/01/2016,21:30:00,"NA",26.59
417,24/01/2016,21:35:00,"NA",26.59
418,24/01/2016,21:40:00,"NA",26.59
419,24/01/2016,21:45:00,"NA",26.59
420,24/01/2016,21:50:00,"NA",26.59
421,24/01/2016,21:55:00,"NA",26.59
422,24/01/2016,22:00:00,"NA",26.59
423,24/01/2016,22:05:00,"NA",26.59
424,24/01/2016,22:10:00,"NA",26.59
425,24/01/2016,22:15:00,"NA",26.59
426,24/01/2016,22:20:00,"NA",26.59
427,24/01/2016,22:25:00,"NA",26.59
428,24/01/2016,22:30:00,"NA",26.59
429,24/01/2016,22:35:00,"NA",26.53
430,24/01/2016,22:40:00,"NA",26.53
431,24/01/2016,22:45:00,"NA",26.53
432,24/01/2016,22:50:00,"NA",26.53
433,24/01/2016,22:55:00,"NA",26.53
434,24/01/2016,23:00:00,"NA",26.53
435,24/01/2016,23:05:00,"NA",26.47
436,24/01/2016,23:10:00,"NA",26.47
437,24/01/2016,23:15:00,"NA",26.47
438,24/01/2016,23:20:00,"NA",26.47
439,24/01/2016,23:25:00,"NA",26.41
440,24/01/2016,23:30:00,"NA",26.41
441,24/01/2016,23:35:00,"NA",26.35
442,24/01/2016,23:40:00,"NA",26.35
443,24/01/2016,23:45:00,"NA",26.35
444,24/01/2016,23:50:00,"NA",26.35
445,24/01/2016,23:55:00,"NA",26.35
446,24/01/2016,24:00:00,"NA",26.35
447,25/01/2016,00:05:00,"NA",26.29
448,25/01/2016,00:10:00,"NA",26.29
449,25/01/2016,00:15:00,"NA",26.29
450,25/01/2016,00:20:00,"NA",26.29
451,25/01/2016,00:25:00,"NA",26.29
452,25/01/2016,00:30:00,"NA",26.29
453,25/01/2016,00:35:00,"NA",26.29
454,25/01/2016,00:40:00,"NA",26.29
455,25/01/2016,00:45:00,"NA",26.29
456,25/01/2016,00:50:00,"NA",26.29
457,25/01/2016,00:55:00,"NA",26.29
458,25/01/2016,01:00:00,"NA",26.29
459,25/01/2016,01:05:00,"NA",26.29
460,25/01/2016,01:10:00,"NA",26.29
461,25/01/2016,01:15:00,"NA",26.29
462,25/01/2016,01:20:00,"NA",26.29
463,25/01/2016,01:25:00,"NA",26.35
464,25/01/2016,01:30:00,"NA",26.29
465,25/01/2016,01:35:00,"NA",26.35
466,25/01/2016,01:40:00,"NA",26.29
467,25/01/2016,01:45:00,"NA",26.29
468,25/01/2016,01:50:00,"NA",26.29
469,25/01/2016,01:55:00,"NA",26.29
470,25/01/2016,02:00:00,"NA",26.29
